artist_name,title,release,song_id,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence,year
Pepper,Freeze,Pink Crustaceans and  Good Vibrations,SOTOHAH12AAF3B51FC,204.5122,9,0.517,-5.286,0,0.525,220.104,3,1.0,2008.0
Peggy Zina,Alli Mia Fora,Trexe,SOPRVWD12A8C13A711,217.33832,8,0.397,-8.301,1,0.334,131.991,4,0.089,
FIR,Lydia [Piano Version],F.I.R.,SOHSEBB12A8C139D2A,206.57587,11,0.546,-14.44,0,0.751,122.041,3,0.656,
Eric Champion,Dress Me Up,Vibe Central - The Essential Remixes,SONWUYB12AB017FDC5,327.49669,2,0.536,-10.42,1,0.375,122.421,4,0.0,1996.0
Zeltinger Band,Wo bleibt die Mark?,Rares für Bares 2004,SOSFHGJ12AB01857C0,222.24934,1,0.571,-7.768,1,0.494,140.264,4,0.161,
Bebe Winans,Love Thing,Live Up  & Close,SOZOOYV12A6D4F445F,278.22975,1,0.0,-10.486,1,0.296,161.405,4,0.692,2002.0
Penguin Café Orchestra,Bean Fields (Live) (2001 Digital Remaster),A Brief History,SOPEKCH12A6D4F66B3,270.78485,2,0.649,-9.057,1,0.68,128.298,1,0.0,2001.0
Colombiafrica - The Mystic Orchestra,Sambangole / Tres Golpes Na' Mas,Voodoo Love Inna Champeta Land,SOKGTMG12AB0180460,318.79791,1,0.043,-7.998,1,0.059,186.121,5,0.0,2007.0
Red Hot Chili Peppers,Naked In The Rain (Album Version),Blood Sugar Sex Magik,SOBANAT12A6D4F7501,265.63873,2,0.417,-10.557,1,0.446,116.282,4,0.788,1991.0
The Kitchen,Who Are You?,Foreign Objects,SOLVAIC12AC90716B8,213.10649,0,0.655,-6.025,1,0.535,142.911,4,0.76,
Statues,There Are Things I Think You Should Know,Aux,SOLDRTU12AB01838B9,155.6371,1,0.0,-6.618,0,0.0,173.357,4,0.0,
Jonny Lang,The One I Got,Long Time Coming,SOZCURA12AF72A17B1,208.32608,2,0.577,-6.067,1,0.596,136.932,4,0.333,2003.0
Cam'Ron / JR Writer,Shake,Purple Haze,SOPFWNZ12A8C13B9C6,208.92689,9,0.0,-6.61,1,0.12,115.139,5,1.0,2004.0
Novembre,Triesteitaliana,The Blue,SOWKINI12A8C135E39,295.23546,4,0.107,-6.163,1,0.329,124.078,3,0.569,2007.0
X-Raided,Thug Queen,The Unforgiven_ V.2: Assisted Suicide,SOELUMB12AB01819CE,242.59873,4,0.165,-6.83,0,0.191,161.976,4,0.032,
Cornell Campbell,Give Your Love To Me,Tell The People,SOXYGNC12A67021C29,215.01342,1,0.672,-15.076,1,0.451,140.048,4,0.0,
Donna The Buffalo,Tides Of Time,Live From The American Ballroom,SOYNMIH12AB0181C0A,281.93914,9,0.606,-6.199,1,0.487,151.493,4,0.062,1999.0
Tesla,So What!,Alive In Europe!,SOIDTWY12AB018CDB4,228.98893,7,0.002,-3.257,0,0.276,88.127,4,0.032,2008.0
ÄI-TIEM,Kleina Wixa,Wenn hier einer schießt_ dann bin ich das,SOUOHOA12A6D4FBCE0,200.48934,2,0.551,-10.62,1,0.482,172.02,4,0.551,1993.0
Little Feat,Down On The Farm (2006 Remastered Edit Version),The Best Of Little Feat,SOCSLWU12A58A7E43A,228.98893,0,0.177,-9.978,1,0.561,97.342,4,0.0,2006.0
Mikey Dread,Two Track Dub (Dub / Instrumental Reggae Music),Dub Catalogue,SODDPYN12A8C132735,373.26322,1,0.25,-13.192,0,0.276,145.055,1,0.0,1982.0
Alberto Cortez,Distancia,Colección Diamante: Alberto Cortez,SOJKDEC12A8C131E8B,252.78649,3,0.643,-5.896,1,0.536,91.008,5,0.617,1989.0
Conjunto Mar Azul,Papel Quemado,En Vivo,SOKBBXV12AB0186B8A,309.96853,5,0.691,-5.129,1,0.586,93.961,3,1.0,
Death From Above 1979,Romantic Rights,You're A Woman_ I'm A Machine,SOINDRZ12A6701DAF6,195.29098,7,0.62,-7.163,1,0.643,150.155,4,1.0,2004.0
Foo Fighters,If Ever,The Pretender,SOUVVUV12A8AE48414,253.67465,2,0.315,-7.442,1,0.485,150.83,3,1.0,2007.0
Eyehategod,Left To Starve,10 Years Of Abuse And Still Broke,SODKRQH12A6D227229,247.01342,2,0.074,-11.31,1,0.496,97.916,7,0.693,1992.0
Mal De Ojo,Lekeitio,Mestijaia,SOZIAOG12A6D223AA3,238.10567,4,0.303,-6.206,1,0.196,140.951,3,1.0,
Edmundo Ros,The Wedding Samba,Doin' The Salsa - The Very Best Of Edmundo Ross,SOCCIRN12AB018A7FE,170.37016,7,0.35,-9.905,0,0.449,121.596,4,0.194,
The Antlers,Stairs To the Attic,In the Attic of the Universe,SOEYFCZ12AB017D780,277.99465,7,0.08,-8.878,1,0.42,80.023,4,0.484,2007.0
Lionel Rogg,Prelude And Fugue In C Major BWV 545 : Prelude,Bach: Organ Works Vol.2,SONYUSG12AB018AA7C,137.32526,0,0.725,-10.997,1,0.846,77.754,3,0.678,
Jimmy Riley,The Love We Had Version,Magic,SOXRGPQ12A8AE459AE,229.14567,8,0.09,-13.633,1,0.543,160.04,4,0.331,
Elliot Goldenthal,Vortex,Titus - Original Motion Picture Soundtrack,SOOJHOT12A8C137024,92.86485,2,0.025,-23.519,1,0.428,79.35,7,0.465,2000.0
John Brown,Uncle Interlude,TheBurbsLife,SOIGXES12AB018B150,24.47628,11,0.439,-13.816,1,0.412,77.692,1,0.0,
Marilyn Horne / Wiener Opernorchester / Henry Lewis,Mon coeur s'ouvre à ta voix,Ultimate Classical Chill Out,SOLMLUW12AB017D7E0,391.70567,1,0.478,-20.082,1,0.468,106.504,4,0.499,
Jason Mraz,The Dynamo Of Volition [From An All Night Session],We Sing.  We Dance.  We Steal Things.,SOCDAIR12A8C131F89,263.00036,11,0.148,-13.163,0,0.424,62.894,1,0.0,
Pyrolator,Gold Und Silber,Ausland,SOVLLLU12AB0185D84,167.28771,2,0.391,-8.826,1,0.478,186.582,1,0.0,
James Scott Skinner,Triumph / Timour The Tartar / The Left Handed Fiddler / Speed The Plough / De'il Among The Tailors,The Strathspey King,SOUUOSZ12A8C14378D,184.52853,10,1.0,-18.935,1,0.826,133.953,1,0.0,
Abraham Laboriel,Guidum,Guidum,SOZYMNW12AB0186BD9,423.26159,0,0.479,-10.494,0,0.444,182.774,4,0.741,1995.0
Grupo Batuque,Cavasamba Um (Edit),O Tempo Do Samba,SOPMZIK12AB017DEFE,41.56036,9,0.414,-17.437,0,0.382,155.526,5,1.0,2005.0
Sugar Minott,All Kind of People,Rewind Selecta: Up Tempo Collection Volume 3,SOCHRGA12AB017D5CE,211.06893,11,0.187,-11.706,1,0.412,121.284,1,0.0,
Ini Kamoze,Hole In The Pumpkin,Shocking Out,SOKFNSG12A8C1379EA,234.84036,6,0.647,-13.762,0,0.752,95.021,4,1.0,
Mudhoney,Between Me & You Kid (Album Version),Five Dollar Bob's Mock Cooter Stew,SOEGWUQ12A5891CC6F,217.5473,4,0.937,-7.996,1,0.506,158.517,4,0.0,1993.0
Out Of The Grey,The One I've Been Waiting For (Diamond Days Album Version),The Early Years,SOQXUNA12A6D4F9AFB,252.62975,0,0.404,-10.239,1,0.455,153.642,4,0.513,
Dino,Untitled,An Anthology of Chinese Experimental Music 1992-2008,SODNJFJ12AB0185841,406.38649,10,0.444,-1.723,0,0.365,103.807,4,0.446,
OV7,Una na na,7 Latidos,SOLQAPL12AAF3B3010,239.67302,11,0.192,-3.593,1,0.476,99.995,4,0.549,2001.0
Borialis,Can't Break This Man,What You Thought You Heard,SOVUPWB12A6701F623,294.68689,7,0.841,-5.4,1,0.688,151.805,4,0.363,
Open Hand,The Ambush,You And Me,SOAUGJA12AB01869AF,136.98567,6,0.493,-5.654,0,0.523,154.211,3,0.858,2004.0
X-ecutioners,Play That Beat,Built From Scratch,SOJQTNZ12AB018115B,286.77179,10,0.09,-5.716,0,0.499,76.166,5,0.807,2001.0
Mario Rosenstock,Bertie's Pets (Bonus Material),Gift Grub 10 (Deluxe Edition),SOIVGSZ12AB017F898,250.30485,5,0.273,-29.521,0,0.452,49.171,4,0.782,
Juice Leskinen,Marilyn,Lauluja rakastamisen vaikeudesta,SOGSPRZ12AB0182944,158.45832,0,0.673,-11.567,1,0.626,180.8,4,0.0,1994.0
Pumpkin Buzzard,Bladecrash Electrocution,Knowledge Zombie,SOEBMOR12AB018E580,193.20118,2,0.853,-5.111,1,0.935,68.936,1,0.0,
Rishi Rich,Come Here Feat. Jay Sean,The Project,SOSUVKW12A6D4F58BE,201.92608,4,0.558,-4.736,0,0.448,107.011,4,1.0,2006.0
Kanye West,Through The Wire,Through The Wire,SOGWZBN12A6D4F6AB2,271.25506,7,0.766,-5.227,1,0.474,166.037,4,0.785,2003.0
The Katies,She's My Marijuana (LP Version),The Katies,SOGSBJL12A8C14477B,216.29342,11,0.409,-5.419,1,0.531,133.607,4,0.239,
Los Hispanos,El Aranero,Coleccion Estelar de Sabor Cumbia,SOCCRRM12AB018E15B,242.28526,0,1.0,-12.384,1,0.741,88.343,4,0.863,
Sugar Minott,Mash Up Mi Life,Niney Presents: No Hiding Place!,SOLKIQV12AC3DF5531,258.01098,0,0.0,-10.475,1,0.205,156.972,4,1.0,
Paul Brown,Old Friends,The City,SOKEOPP12AB017F799,243.90485,7,0.516,-9.433,0,0.693,122.623,3,0.687,2005.0
Lloyd Banks,South Side Story,The Hunger For More,SOZYUKG12A6D4FB64F,250.74893,1,1.0,-2.844,1,0.695,85.366,4,1.0,2004.0
Marvin Sapp,In His Presence (LP Version),Marvin Sapp,SOINLVO12A67020D31,263.65342,8,0.662,-6.677,1,0.714,100.081,4,1.0,
Sister Hazel,Space Between Us (Album Version),Sister Hazel,SOPXKFG12A58A78D97,303.98649,7,0.574,-8.311,1,0.629,127.707,4,0.0,1994.0
Mighty Diamonds,Drifting Away,Rise Up,SOWJACU12AB018648C,224.54812,7,0.844,-8.815,1,0.503,146.02,4,0.748,
Terror Fabulous,Position,Reggae Gold 1993,SOWDYUR12A8AE481CB,191.73832,8,0.023,-11.71,1,0.313,94.958,4,1.0,1995.0
Eddie Henderson,Beyond Forever (2004 Digital Remaster),Coming Through,SOUIAWC12AB018810E,277.57669,2,0.005,-8.4,1,0.217,98.436,5,0.517,
Kartik Seshadri,Raga Anandi Kalyan (Alap_ jor and jhala),Illuminations,SOBGEIG12A6D4F6635,1519.28118,1,0.909,-23.684,1,0.805,88.329,3,0.536,
Modeselektor,Tetrispack,Hello Mom!,SOIXCFZ12A8AE462F5,256.31302,2,0.723,-8.788,1,0.508,205.972,4,0.785,2005.0
Charlie Rich,Nice 'N' Easy,Feel Like Going Home: The Essential Charlie Rich,SOIMQSC12A8C1344C4,184.65914,0,0.194,-11.537,1,0.406,119.963,1,0.228,1997.0
Kris Kristofferson,Darby's Castle,Broken Freedom Song: Live From San Francisco,SOBEQOL12A8C140489,232.64608,2,0.845,-19.991,1,0.323,74.665,3,0.264,1970.0
Bad Religion,Doing Time (Album Version),How Could Hell Be Any Worse?,SODFEAT12A8C139306,180.81914,9,0.492,-5.098,0,0.449,121.805,4,0.704,1982.0
Saarbrücken Radio Symphony Orchestra,Phase (1972),Les Idées Fixes,SOPDNNC12AB018A801,827.66322,5,0.331,-24.986,1,0.269,59.478,5,0.625,
Jackie Davis,Night Train (Album Version),Easy Does It,SOMLDOS12AB0181FBD,159.81669,6,0.497,-13.613,1,0.514,117.298,4,0.0,
Shawn Colvin,Sunny Came Home,Live,SOZPXLH12A58A7A054,250.69669,1,0.162,-12.806,1,0.356,109.154,1,0.0,1996.0
Less Than Jake,Short On Ideas / One Last Cigarette,Pezcore,SOOCUMC12A81C22FEA,257.01832,0,0.761,-1.977,1,0.544,170.412,1,0.0,2002.0
Mobb Deep,Got It Twisted,Amerikaz Nightmare,SOVFRDB12AB017FF3A,224.62649,6,0.113,-5.627,0,0.233,103.433,4,1.0,2004.0
Irwin Goodman,Liverpoolin pokia,Dirly dirly dee,SOJYPYH12A8C13D69F,157.33506,10,0.722,-4.398,1,0.775,155.735,1,0.0,1985.0
Pedro Aznar,Stand,David Y Goliath,SOHRPJS12AB0180A12,194.61179,0,0.063,-7.683,0,0.299,110.178,4,0.917,1995.0
Bill Douglas,Caroline,Jewel Lake,SOEDOYM12AB0189A92,185.67791,3,0.722,-23.771,1,0.697,106.117,4,0.524,
Marty Robbins,Have Thine Own Way Lord,The Best of Marty Robbins,SOYBNLW12A6D4FC930,160.57424,11,0.011,-16.399,1,0.276,83.053,3,0.515,
Gang Starr Featuring Jeru The Damaja And Lil Dap,I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap),Daily Operation,SOIVSQZ12A6D4F68BF,244.32281,1,0.216,-15.55,1,0.292,95.301,4,0.889,1992.0
Lenn Hammond,The Door,Baby Why,SOLABTF12A8C13A149,216.47628,1,0.929,-7.622,1,0.774,154.356,4,0.383,
Cool For August,Don't Wanna Be Here (Album Version),Grand World,SOUFVZJ12A6D4FA4FE,214.7522,9,0.461,-5.8,1,0.199,124.22,4,1.0,1997.0
Monster Magnet,CNN War Theme,Monolithic baby!,SOKSRWI12A8C146997,217.10322,2,0.56,-5.75,1,0.428,146.683,4,0.0,2004.0
Sugar Minott,Now We Know,The Serious Reggae Album Vol 2 Prt 2,SOCXRMP12AB018578E,193.93261,3,0.021,-13.688,0,0.218,163.848,4,0.0,2007.0
Nirvana,Heart-Shaped Box,From The Muddy Banks Of The Wishkah,SOSMWDQ12A6701E981,281.65179,1,0.804,-6.89,1,0.637,105.826,4,0.0,
Unison,Girls Make My Hair Loose,Sound Networks EP,SOIGESI12AB0184722,216.78975,7,0.648,-11.212,0,0.551,116.432,4,1.0,
Hatiras & Slarta John,Spaced Invader (Ian Pooley Club Mix),Spaced Invader,SOIKYFC12A6D4F9864,383.58159,10,0.891,-5.378,0,0.704,128.022,4,0.0,2000.0
Randy Travis,Down At The Old Corral (Album Version),Wind In The Wire,SOEQJUL12A6701D4CE,198.76526,10,0.529,-11.611,1,0.578,104.799,4,0.163,1993.0
José Augusto;Catia Guimma,Tudo Que Você Quiser,Ao Vivo,SOGQJCQ12AB0188A27,256.15628,11,0.567,-5.962,1,0.601,102.399,4,0.745,
fIREHOSE,Tien An Man Dream Again,Flyin' The Flannel,SOKXUNU12A8C131CD6,78.05342,7,0.838,-10.99,1,0.606,177.093,1,0.266,1991.0
Alternative TV,Nasty Little Lonely,Live 1978,SORWKHR12A8C141015,305.71057,4,0.657,-13.11,1,0.478,105.288,1,0.075,1978.0
Mike Bloomfield,Tell Me Partner,Bloomfield-A Retrospective,SOKDRIH12AB0182247,320.1824,9,0.709,-21.361,1,0.616,102.533,3,1.0,
Francky Vincent,Ma Garçonniére,Réchauffe L'hiver,SOODZJJ12A8C142894,207.90812,2,0.186,-4.613,1,0.362,111.95,4,1.0,
The Black Crowes,Nonfiction,Amorica,SOTWIIY12A6D4F8837,256.20853,5,0.561,-8.311,0,0.446,163.204,4,0.0,1994.0
G-Unit,Money Make The World Go Around,T.O.S. (Terminate On Sight),SOGWCWD12AB017FC95,254.09261,7,0.061,-5.871,1,0.374,93.988,4,0.841,
Mat Kearney,Never Be Ready,City Of Black & White,SOAPAIN12A8C142D08,215.74485,11,0.563,-6.81,1,0.589,151.936,4,0.325,2009.0
Conjunto Clasico,Coquí,Clásicas De Clásico,SOQIGAT12AB017AD52,245.99465,0,0.102,-15.732,1,0.501,83.905,5,0.307,
Julie Roberts,Unlove Me,Julie Roberts,SORTOKQ12AF72A545B,192.46975,1,0.89,-10.002,1,0.719,122.022,4,0.147,2004.0
The Presets,If I Know You,If I Know You,SOJORVL12A8C143582,351.32036,2,0.456,-7.168,1,0.497,128.976,4,0.0,2008.0
Lily Holbrook,Smoke Screen,Wicked Ways,SOZPSZK12AB0187881,242.83383,11,0.775,-9.823,1,0.691,118.268,1,0.292,
Georges Delerue,Ouverture,Le Mepris,SODORVB12AB0181F05,113.73669,2,0.216,-13.074,0,0.348,141.652,7,0.789,
Ronnie Milsap,Up To Zion (High Key-Premiere Performance Plus w/o Background Vocals),Up To Zion (Premiere Performance Plus Track),SONFXQX12AB01872A4,171.25832,5,0.559,-6.652,0,0.566,88.947,3,0.978,
Irma Thomas,River Is Waiting,Rounder Records' 40th Anniversary Concert,SOKANHN12AB01841D0,240.69179,3,0.49,-5.762,1,0.564,103.206,4,0.423,2008.0
VHS Or Beta,Solid Gold (Evolution Mix) (2005 Digital Remaster),Le Funk,SOVIJEZ12A58A7F35C,508.02893,9,0.026,-6.992,1,0.277,126.984,4,0.095,2002.0
T.G. Sheppard,Only One You,Devil in the bottle,SOBNEYA12AB01865D5,196.62322,11,0.294,-14.301,0,0.421,96.027,3,0.0,2002.0
O'2L,Little Edith,Doyle's Brunch,SOWRIBC12AAF3B2725,290.08934,5,0.834,-9.344,1,0.767,130.091,3,0.268,2005.0
The Cardigans,Iron Man,First Band On The Moon,SOPFURM12A67020D2A,259.76118,5,0.485,-10.175,1,0.439,137.342,4,0.526,1996.0
Clifton Chenier,Johnny Can't Dance,Live! At Grant Street,SOJOIZR12A8C13E554,281.15546,7,0.23,-4.231,1,0.389,116.517,4,1.0,2001.0
B.B. King,Please Remember Me,B.B. King,SOFSDJY12AAF3B4381,192.88771,0,0.069,-10.241,1,0.4,132.115,1,0.407,
Zen Lemonade,Brazil Mon Amour,Lemon Soul,SOOWUYK12AB017C5E3,493.7922,7,0.071,-9.535,1,0.491,134.21,4,0.0,2001.0
R. Kelly & Jay Z,Honey,The Best Of Both Worlds,SOXKMLO12AB017FFDB,242.15465,6,0.102,-3.38,0,0.345,95.464,4,0.749,
Jan Wayne,Mad World (Money-G. Remix),Mad World,SOSEDLD12A8C13E168,495.38567,9,0.433,-5.085,1,0.241,140.013,4,0.302,
Jimmy Cliff,Take Your Time feat. Yannick Noah,Black Magic,SOAVWUZ12A8C142B45,193.64526,0,0.657,-6.874,1,0.611,211.986,4,0.0,
The Forms,Innizar,Icarus,SOWYVJI12AAF3B4873,208.14322,2,0.716,-9.073,1,0.705,78.134,4,0.924,2003.0
Lionel Rogg,Toccata Et Fugue En Ré Mineur BWV 565,Bach: Favorite Organ Works,SOTBVZW12A8C1360F0,499.51302,2,0.639,-15.872,0,0.721,92.924,4,0.5,
Connie Francis,Embraceable You (LP Version from 'When The Boys Meet The Girls'),Connie Francis In Hollywood,SOWCQMT12A6D4FC2BD,135.47057,2,0.442,-15.754,1,0.554,73.183,5,0.573,
Larry The Cable Guy,Bass Pro Shop & Wal-Mart,The Best Of Blue Collar Comedy,SOFLKLL12AC468B353,148.37506,4,0.0,-12.149,1,0.0,62.018,1,0.793,2009.0
The Kirkbys,Penny In My Pocket,Unearthed Merseybeat Volume 2,SOGQMIF12A8C13C401,154.3571,7,0.086,-8.251,1,0.348,129.393,1,0.0,
Arc Angels,Nadine,Living In A Dream,SOWSZIC12AB0186D86,309.41995,9,0.881,-7.183,1,0.607,118.372,4,0.827,
The Clancy Brothers,Marie's Wedding,Ain't It Grand Boys: Unissued Gems Of The Clancy Brothers With Tommy Makem,SOLGING12AB0182723,164.07465,1,0.0,-21.511,0,0.262,92.326,4,0.02,
Andy Griffith,I Love To Tell The Story  (Love To Tell The Story Album Version),Love To Tell Story-25 Hymns,SOJGOAY12A58A79479,173.7922,10,0.709,-15.661,1,0.246,105.129,4,0.644,
Eric Demarsan,L'ombre d'une chance,Les réalisateurs: Les plus belles musiques de films de Jean-Pierre Mocky,SOQRHIO12AC4689255,150.17751,2,0.636,-13.345,1,0.477,117.311,3,0.207,2005.0
"Myrick ""Freeze"" Guillory",Queen Ida Introduction,Nouveau Zydeco,SOOJKNX12A8C132425,55.50975,8,0.181,-23.347,0,0.126,111.542,1,0.0,
Ice-T & Chuck D,Round Two Wrap-Up,The Showdown: The Sugarhill Gang Vs. Grandmaster Flash & The Furious Five,SOZGOKA12A6D4FC7B7,26.01751,2,0.065,-13.276,0,0.39,109.135,1,0.0,
Silverchair,Suicidal Dream,Frogstomp,SOKWVAH12A8C1332B0,191.9473,7,0.395,-7.711,1,0.535,97.643,4,0.297,1995.0
U2,New York,Electrical Storm,SOAATRN12A6310E897,343.27465,11,0.169,-7.165,0,0.534,125.088,4,0.893,2000.0
Sweet,Do It All Over Again,Sweetlife,SORTNEK12A58A7932C,265.97832,7,0.8,-5.425,1,0.596,150.116,4,0.0,
Billy Bragg & Wilco,She Came Along To Me (LP Version),Mermaid Avenue,SOSIMGO12A6D4FB491,207.98649,9,0.449,-7.46,1,0.453,119.066,4,0.802,
Hot Tuna,Extrication Love Song,Double Dose,SODMNRZ12A8C140C7A,270.96771,2,0.728,-5.807,1,0.802,93.532,4,0.569,1976.0
Götterdämmerung,Skincree,Kin-Burst 9104,SOWDTGB12A6D4FB2AD,250.14812,11,0.431,-6.942,1,0.364,137.846,4,0.642,
Mil,Dis moi,Miltape Vol.1,SOEQBUC12AB0181D21,200.56771,1,0.591,-5.041,1,0.349,199.747,4,0.812,
The Twinkle Brothers,Under World Dub,Dub Massacre Part 1 & Part 2,SOTDNJJ12AAF3B3748,186.8273,9,0.484,-11.837,1,0.31,88.355,3,0.72,
Tum Tum,Lil Stuntin,The Return Of O-Tumma,SOTOXLZ12A8C1436B7,206.28853,9,0.629,-16.408,1,0.229,87.716,4,0.906,
Mr Dubz,Diss Location,The Pain E.p.,SOXKDRR12AB0181712,293.72036,6,0.01,-6.481,1,0.298,87.99,4,0.632,
Shakira,Did It Again (featuring Kid Cudi),Did It Again Feat. Kid Cudi,SODOXQL12AB01843D3,242.02404,0,0.367,-5.243,0,0.556,137.935,4,0.46,
Soda Stereo,Persiana Americana (Live),Ruido Blanco,SODJAUI12AB0188C5E,343.562,4,0.468,-11.947,0,0.429,104.521,4,0.244,1987.0
Die Bandbreite,Recht auf Lungenkrebs,Hexenjagd,SOYMYOU12AB01883E3,181.08036,7,0.679,-9.839,1,0.628,131.784,4,0.888,
Pardesi,Pardesi Pind Wich Ageya,Pump Up The Bhangra,SOOTDLW12AB017DBF3,254.9024,8,0.14,-13.242,0,0.079,98.824,4,0.288,
Andre Verchuren,Tra-La-La Musette,Tango Pour Madameon,SODWFBM12A6D4FAF53,156.26404,0,0.477,-14.252,1,0.428,180.588,1,0.0,
Spieluhrmelodien,Zeigt her eure Füße,Zeigt Her Eure Füsse,SOCKIPC12A8C13F0C0,131.94404,2,0.0,-10.823,1,0.0,94.977,4,0.893,
Marco Beltrami,Past Meets Present,In The Electric Mist,SOCWCPZ12AB018476F,170.52689,5,0.685,-17.169,1,0.712,188.068,3,1.0,
Erik Hassle,Don't Bring Flowers,Don't Bring Flowers,SOYFSUL12AB0183110,308.81914,7,0.629,-7.564,1,0.561,127.923,4,0.875,2009.0
An Cafe,KORITSU HOSPITAL,Goku Tama Rock Cafe,SOGCJUJ12A8C13D4FE,267.31057,7,0.86,-3.545,1,0.652,170.003,4,0.751,
Galactic,Squarebiz,From the Corner To the Block,SOEJRAP12A8C13D8FA,205.08689,11,0.164,-4.181,0,0.45,91.89,4,0.061,2007.0
Michael Bloomfield,Narrative #1,If You Love These Blues_ Play'em As You Please,SOOCFSM12AB018519F,35.97016,8,0.084,-20.026,0,0.247,106.269,1,0.732,
Soul Embraced,Someday (Immune Album Version),Immune,SONQVMO12A8C134FC7,248.81587,0,0.519,-8.432,1,0.578,168.193,4,1.0,
Scott Wesley Brown,Somebody's Brother (Somebody's Brother Album Version),Somebody's Brother,SODOZXX12A8C137BCE,191.21587,2,0.491,-20.02,1,0.742,124.346,1,0.809,
Tiny Tim,You Called It Madness [But I Call It Love] [Live At Royal Albert Hall],Live! At The Royal Albert Hall,SOOPNJS12AB0181570,197.90322,5,0.481,-14.23,1,0.506,167.477,3,0.903,2000.0
At All Cost,Drugs,Circle Of Demons,SOQFKBW12A58A7B9EE,443.68934,3,0.536,-6.465,0,0.457,100.331,7,0.616,2007.0
Shamen,Scientas,Boss Drum (album),SOWCQMB12A8C141825,337.71057,2,0.75,-14.443,1,0.634,219.826,3,0.265,1992.0
William Coulter,The Painter And The Magician,The Road Home,SOPKUDA12AB018570C,253.54404,2,0.964,-14.233,1,0.755,177.841,4,0.574,
Phil Spector,Spanish Harlem,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,SOYPREH12A6D4F6EF4,130.61179,0,0.863,-14.669,1,0.899,101.166,4,0.0,
Charles Williams And His Orchestra,Portrait Of Clare (from 'Portrait Of Clare'),Classic British Film Themes Of The 40's & 50's,SOESDIQ12AB018ADA5,196.75383,7,0.967,-24.422,1,0.778,66.907,1,0.0,
Nick Cave & The Bad Seeds,The Hammer Song (2010 Digital Remaster),The Good Son (2010 Digital Remaster),SOOUUQC12AF72A56E3,255.4771,7,0.694,-10.794,1,0.632,99.565,4,0.214,
Barrabas,Broadway Star,Desperately,SOUXSFR12AB018D1A4,241.3971,9,0.516,-13.115,1,0.299,131.729,4,0.0,
Malcolm McLaren,You Need Hands (1993 Digital Remaster),The Great Rock 'N' Roll Swindle,SOQCDQE12A6D4F7682,169.50812,8,0.624,-14.338,1,0.667,106.413,1,0.0,
The Brooklyn Tabernacle Choir,All That You Need,Praise Him...Live!,SOYRUNW12AB01856B8,257.30567,7,0.721,-14.173,1,0.797,115.371,1,0.346,1995.0
Birmingham Jubilee Singers,Hope I'll Join That Band,Birmingham Jubilee Singers Vol. 2 (1927-1930),SONUXHH12A8C141737,172.93016,8,0.416,-17.242,0,0.257,88.908,7,0.531,
Capleton,Conscience Ah Heng Dem (interlude),More Fire,SOEHJSW12A8C135F66,29.41342,3,0.189,-15.0,0,0.27,170.781,1,0.0,2000.0
Steve Erquiaga,Sicilienne,Guitar Adagios,SOYWHAB12AB0181E73,225.33179,9,0.374,-28.2,0,0.424,150.784,3,0.877,
Avril Lavigne,Innocence,The Best Damn Thing,SOZIMLB12AF72AD1CD,232.202,1,0.42,-4.165,0,0.588,138.364,1,0.179,2007.0
Mickey And The Students,Gimme Gimme Song,Some People,SOYSHBO12AB018CA41,914.02404,7,0.548,-7.329,1,0.548,107.433,3,0.413,
Chimaira,Severed (demo) (Album Version),Pass Out of Existence [Special Edition],SOLOZFC12AB0180428,179.04281,11,0.026,-3.884,0,0.371,69.792,3,0.525,
Bumblefoot,Abnormal (Acoustic),Barefoot - the acoustic ep,SOBRBOP12AB018ABA1,214.64771,0,0.387,-10.491,1,0.361,156.222,4,0.198,
Hem,Redwing,Eveningland,SOBNSFW12A67020E2E,252.86485,3,0.891,-10.468,1,0.776,123.997,4,0.0,2004.0
Lara,Nur eine Nacht mit Dir,Wahnsinn,SONIOEX12AB017D541,211.90485,1,0.769,-6.255,1,0.819,124.014,4,0.754,2009.0
The Shamen,Heal (The Separation) [H.E.L.P Breakbeat],Heal (The Separation),SOARKRH12AB0188703,247.53587,5,0.811,-8.069,1,0.652,110.04,4,0.422,1996.0
Jackie Edwards,Worrying Over You,Mums and Dads Reggae Favourites,SOXWGVW12A8C134AD8,206.05342,6,0.698,-13.686,1,0.602,150.302,4,0.0,
The Moody Blues,Long Summer Days,Caught Live + 5,SOYTMRC12A6D4F5B58,194.97751,2,0.043,-9.769,1,0.425,91.453,4,0.0,1977.0
Frankie Randall,Winter Wonderland,Let's Make Christmas Every Day,SOBDXNG12A8C139A47,215.77098,4,0.335,-18.86,0,0.283,100.0,4,0.554,
Arturo Sandoval,Luna de miel en Guama,Best Of Arturo Sandoval,SOCCQAW12A6701DB28,238.28853,2,0.873,-11.4,1,0.73,138.732,5,0.86,1997.0
Tommy Overstreet,Heart Of Dixie,Welcome To My Land Of Love,SORQBLL12AB0184523,185.73016,11,0.878,-13.569,1,0.734,129.714,4,0.0,
